DATE,DTWEXBGS
2018-07-30,112.6077
2018-07-31,112.7332
2018-08-01,112.8931
2018-08-02,113.1709
2018-08-03,113.0149
2018-08-06,113.2318
2018-08-07,112.9788
2018-08-08,113.1439
2018-08-09,113.3832
2018-08-10,114.3027
2018-08-13,114.8532
2018-08-14,114.6601
2018-08-15,115.1548
2018-08-16,114.6438
2018-08-17,114.5362
2018-08-20,114.3528
2018-08-21,113.863
2018-08-22,113.6657
2018-08-23,114.0961
2018-08-24,113.6015
2018-08-27,113.2752
2018-08-28,113.3476
2018-08-29,113.6493
2018-08-30,114.093
2018-08-31,114.2785
2018-09-03,.
2018-09-04,114.8615
2018-09-05,114.7509
2018-09-06,114.6509
2018-09-07,114.5843
2018-09-10,114.6828
2018-09-11,114.708
2018-09-12,114.222
2018-09-13,113.9299
2018-09-14,114.0689
2018-09-17,113.9189
2018-09-18,113.777
2018-09-19,113.6563
2018-09-20,113.5021
2018-09-21,113.5132
2018-09-24,113.5335
2018-09-25,113.7238
2018-09-26,113.6773
2018-09-27,113.9817
2018-09-28,113.8107
2018-10-01,113.8262
2018-10-02,113.8981
2018-10-03,114.1595
2018-10-04,114.6893
2018-10-05,114.5634
2018-10-08,.
2018-10-09,114.6604
2018-10-10,114.6094
2018-10-11,114.4098
2018-10-12,114.3716
2018-10-15,114.0475
2018-10-16,113.8987
2018-10-17,114.1778
2018-10-18,114.8187
2018-10-19,114.8593
2018-10-22,115.1807
2018-10-23,115.1677
2018-10-24,115.3778
2018-10-25,115.4854
2018-10-26,115.4752
2018-10-29,115.8961
2018-10-30,116.2382
2018-10-31,116.5304
2018-11-01,115.8678
2018-11-02,115.645
2018-11-05,115.7051
2018-11-06,115.5643
2018-11-07,115.2541
2018-11-08,115.6499
2018-11-09,116.4798
2018-11-12,.
2018-11-13,116.6712
2018-11-14,116.5
2018-11-15,116.3885
2018-11-16,115.9282
2018-11-19,115.9886
2018-11-20,116.2393
2018-11-21,116.0947
2018-11-22,.
2018-11-23,116.4739
2018-11-26,116.6234
2018-11-27,116.9026
2018-11-28,116.8369
2018-11-29,116.199
2018-11-30,116.4157
2018-12-03,115.9081
2018-12-04,116.0051
2018-12-05,.
2018-12-06,116.4019
2018-12-07,116.0875
2018-12-10,116.6775
2018-12-11,116.7591
2018-12-12,116.2241
2018-12-13,116.4003
2018-12-14,116.7927
2018-12-17,116.456
2018-12-18,116.4158
2018-12-19,116.0708
2018-12-20,116.0215
2018-12-21,116.2257
2018-12-24,116.2212
2018-12-25,.
2018-12-26,116.1192
2018-12-27,115.9957
2018-12-28,115.7262
2018-12-31,115.5703
2019-01-01,.
2019-01-02,115.7712
2019-01-03,115.4647
2019-01-04,114.9848
2019-01-07,114.5656
2019-01-08,114.7308
2019-01-09,114.143
2019-01-10,114.0515
2019-01-11,114.0419
2019-01-14,.
2019-01-15,114.341
2019-01-16,114.1377
2019-01-17,114.4123
2019-01-18,114.5591
